NACA 0010-64
       17.       17.

  0.000000  0.000000
  0.012500  0.015110
  0.025000  0.020440
  0.050000  0.027220
  0.075000  0.031780
  0.100000  0.035330
  0.150000  0.040560
  0.200000  0.044110
  0.300000  0.048560
  0.400000  0.050000
  0.500000  0.048560
  0.600000  0.044330
  0.700000  0.037330
  0.800000  0.027670
  0.900000  0.015560
  0.950000  0.008560
  1.000000  0.001000

  0.000000  0.000000
  0.012500 -0.015110
  0.025000 -0.020440
  0.050000 -0.027220
  0.075000 -0.031780
  0.100000 -0.035330
  0.150000 -0.040560
  0.200000 -0.044110
  0.300000 -0.048560
  0.400000 -0.050000
  0.500000 -0.048560
  0.600000 -0.044330
  0.700000 -0.037330
  0.800000 -0.027670
  0.900000 -0.015560
  0.950000 -0.008560
  1.000000 -0.001000
