DAE-11 AIRFOIL
       42.       40.

  0.000000  0.000000
  0.000757  0.005143
  0.003292  0.011468
  0.008293  0.019335
  0.016496  0.028727
  0.028364  0.039300
  0.043966  0.050540
  0.062879  0.061804
  0.084408  0.072565
  0.107915  0.082517
  0.132934  0.091527
  0.159095  0.099540
  0.186118  0.106551
  0.213791  0.112558
  0.241940  0.117585
  0.270425  0.121658
  0.299149  0.124802
  0.328056  0.127043
  0.357092  0.128382
  0.386183  0.128850
  0.415255  0.128434
  0.444274  0.127109
  0.473223  0.124888
  0.502047  0.121778
  0.530681  0.117774
  0.559141  0.112838
  0.587581  0.106907
  0.616266  0.099991
  0.645437  0.092205
  0.675223  0.083720
  0.705653  0.074738
  0.736604  0.065502
  0.767351  0.056417
  0.797780  0.047605
  0.827950  0.039152
  0.857951  0.031128
  0.887967  0.023564
  0.918609  0.016380
  0.947875  0.010045
  0.970008  0.005615
  0.986483  0.002538
  1.000000  0.000000

  0.000000  0.000000
  0.000492 -0.003486
  0.002012 -0.006428
  0.004415 -0.008791
  0.008086 -0.010700
  0.014115 -0.012375
  0.024573 -0.013878
  0.041451 -0.014889
  0.064895 -0.015066
  0.092608 -0.014462
  0.122584 -0.013293
  0.153678 -0.011747
  0.185384 -0.009967
  0.217450 -0.008052
  0.249739 -0.006069
  0.282172 -0.004061
  0.314611 -0.002068
  0.346965 -0.000119
  0.379240  0.001752
  0.411434  0.003536
  0.443554  0.005200
  0.475605  0.006734
  0.507575  0.008115
  0.539469  0.009304
  0.571312  0.010285
  0.603112  0.011045
  0.634882  0.011570
  0.666635  0.011866
  0.698376  0.011931
  0.730101  0.011773
  0.761789  0.011393
  0.793421  0.010774
  0.824998  0.009900
  0.856562  0.008759
  0.888329  0.007331
  0.920015  0.005614
  0.947994  0.003868
  0.969651  0.002350
  0.986283  0.001077
  1.000000  0.000000
