NACA 65-410
       26.       26.

  0.000000  0.000000
  0.003720  0.008610
  0.006070  0.010610
  0.010890  0.013720
  0.023180  0.019350
  0.047970  0.028000
  0.072890  0.034870
  0.097880  0.040670
  0.147980  0.050060
  0.198170  0.057310
  0.248430  0.062900
  0.298720  0.067020
  0.349030  0.069830
  0.399360  0.071380
  0.449680  0.071530
  0.500000  0.070180
  0.550290  0.067200
  0.600530  0.062880
  0.650730  0.057410
  0.700850  0.050990
  0.750900  0.043720
  0.800880  0.035770
  0.850760  0.027290
  0.900570  0.018420
  0.950290  0.009370
  1.000000  0.000000

  0.000000  0.000000
  0.006280 -0.006610
  0.008930 -0.007810
  0.014110 -0.009440
  0.026820 -0.011910
  0.052030 -0.015360
  0.077110 -0.017910
  0.102120 -0.019990
  0.152020 -0.023140
  0.201830 -0.025470
  0.251570 -0.027100
  0.301280 -0.028140
  0.350970 -0.028630
  0.400640 -0.028540
  0.450320 -0.027730
  0.500000 -0.026060
  0.549710 -0.023400
  0.599470 -0.020040
  0.649270 -0.016210
  0.699150 -0.012110
  0.749100 -0.007920
  0.799120 -0.003930
  0.849240 -0.000370
  0.899430  0.002260
  0.949710  0.003270
  1.000000  0.000000
