E169  (14.4%)
       31.       31.

  0.000000  0.000000
  0.002900  0.008190
  0.011060  0.017290
  0.023790  0.026570
  0.040850  0.035670
  0.062060  0.044270
  0.087210  0.052120
  0.116050  0.058960
  0.148390  0.064500
  0.184080  0.068580
  0.222890  0.071100
  0.264560  0.072020
  0.308840  0.071270
  0.355550  0.068890
  0.404420  0.065160
  0.454990  0.060360
  0.506750  0.054770
  0.559120  0.048660
  0.611480  0.042310
  0.663160  0.035960
  0.713460  0.029850
  0.761680  0.024160
  0.807080  0.019040
  0.848990  0.014580
  0.886730  0.010810
  0.919700  0.007710
  0.947370  0.005140
  0.969480  0.002900
  0.985980  0.001150
  0.996400  0.000220
  1.000000  0.000000

  0.000000  0.000000
  0.002900 -0.008190
  0.011060 -0.017290
  0.023790 -0.026570
  0.040850 -0.035670
  0.062060 -0.044270
  0.087210 -0.052120
  0.116050 -0.058960
  0.148390 -0.064500
  0.184080 -0.068580
  0.222890 -0.071100
  0.264560 -0.072020
  0.308840 -0.071270
  0.355550 -0.068890
  0.404420 -0.065160
  0.454990 -0.060360
  0.506750 -0.054770
  0.559120 -0.048660
  0.611480 -0.042310
  0.663160 -0.035960
  0.713460 -0.029850
  0.761680 -0.024160
  0.807080 -0.019040
  0.848990 -0.014580
  0.886730 -0.010810
  0.919700 -0.007710
  0.947370 -0.005140
  0.969480 -0.002900
  0.985980 -0.001150
  0.996400 -0.000220
  1.000000  0.000000
