NACA M2
       17.       17.

  0.000000  0.000000
  0.012500  0.013000
  0.025000  0.017400
  0.050000  0.023300
  0.075000  0.027400
  0.100000  0.030500
  0.150000  0.034900
  0.200000  0.037800
  0.300000  0.040300
  0.400000  0.040000
  0.500000  0.037400
  0.600000  0.033000
  0.700000  0.027100
  0.800000  0.019900
  0.900000  0.011500
  0.950000  0.006900
  1.000000  0.002000

  0.000000  0.000000
  0.012500 -0.013000
  0.025000 -0.017400
  0.050000 -0.023300
  0.075000 -0.027400
  0.100000 -0.030500
  0.150000 -0.034900
  0.200000 -0.037800
  0.300000 -0.040300
  0.400000 -0.040000
  0.500000 -0.037400
  0.600000 -0.033000
  0.700000 -0.027100
  0.800000 -0.019900
  0.900000 -0.011500
  0.950000 -0.006900
  1.000000 -0.002000
