LWK 80-080
       49.       49.

  0.000000  0.000000
  0.001070  0.002960
  0.004280  0.006000
  0.009610  0.009110
  0.017040  0.012150
  0.026530  0.015060
  0.038060  0.017820
  0.051560  0.020400
  0.066990  0.022840
  0.084270  0.025140
  0.103320  0.027300
  0.124080  0.029340
  0.146450  0.031220
  0.170330  0.032960
  0.195620  0.034530
  0.222210  0.035940
  0.250000  0.037160
  0.278860  0.038200
  0.308660  0.039050
  0.339280  0.039680
  0.370590  0.040110
  0.402450  0.040310
  0.434740  0.040280
  0.467300  0.040000
  0.500000  0.039460
  0.532700  0.038630
  0.565260  0.037460
  0.597550  0.035930
  0.629410  0.034000
  0.660720  0.031690
  0.691340  0.029070
  0.721140  0.026240
  0.750000  0.023290
  0.777790  0.020320
  0.804380  0.017440
  0.829670  0.014760
  0.853550  0.012360
  0.875920  0.010250
  0.896680  0.008430
  0.915730  0.006860
  0.933010  0.005540
  0.948440  0.004440
  0.961940  0.003510
  0.973470  0.002730
  0.982960  0.002080
  0.990390  0.001580
  0.995720  0.001120
  0.998930  0.000840
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.002960
  0.004280 -0.006000
  0.009610 -0.009110
  0.017040 -0.012150
  0.026530 -0.015060
  0.038060 -0.017820
  0.051560 -0.020400
  0.066990 -0.022840
  0.084270 -0.025140
  0.103320 -0.027300
  0.124080 -0.029340
  0.146450 -0.031220
  0.170330 -0.032960
  0.195620 -0.034530
  0.222210 -0.035940
  0.250000 -0.037160
  0.278860 -0.038200
  0.308660 -0.039050
  0.339280 -0.039680
  0.370590 -0.040110
  0.402450 -0.040310
  0.434740 -0.040280
  0.467300 -0.040000
  0.500000 -0.039460
  0.532700 -0.038630
  0.565260 -0.037460
  0.597550 -0.035930
  0.629410 -0.034000
  0.660720 -0.031690
  0.691340 -0.029070
  0.721140 -0.026240
  0.750000 -0.023290
  0.777790 -0.020320
  0.804380 -0.017440
  0.829670 -0.014760
  0.853550 -0.012360
  0.875920 -0.010250
  0.896680 -0.008430
  0.915730 -0.006860
  0.933010 -0.005540
  0.948440 -0.004440
  0.961940 -0.003510
  0.973470 -0.002730
  0.982960 -0.002080
  0.990390 -0.001580
  0.995720 -0.001120
  0.998930 -0.000840
  1.000000  0.000000
