DAE-51 AIRFOIL
       40.       41.

  0.000000  0.000000
  0.004198  0.009570
  0.010036  0.015424
  0.020035  0.022766
  0.034848  0.031130
  0.054018  0.039740
  0.076453  0.047920
  0.101135  0.055318
  0.127339  0.061811
  0.154628  0.067413
  0.182690  0.072166
  0.211308  0.076124
  0.240336  0.079340
  0.269674  0.081860
  0.299233  0.083720
  0.328960  0.084951
  0.358818  0.085580
  0.388773  0.085631
  0.418788  0.085135
  0.448846  0.084117
  0.478928  0.082608
  0.508986  0.080634
  0.538992  0.078222
  0.568925  0.075394
  0.598779  0.072163
  0.628581  0.068503
  0.658375  0.064411
  0.688251  0.059901
  0.718268  0.055000
  0.748450  0.049722
  0.778792  0.044121
  0.809295  0.038282
  0.839963  0.032247
  0.870790  0.026083
  0.901632  0.019905
  0.931583  0.013984
  0.957438  0.008998
  0.975812  0.005527
  0.989162  0.003036
  0.999998  0.001000

  0.000000  0.000000
  0.000121 -0.001466
  0.001006 -0.004075
  0.002799 -0.006410
  0.006028 -0.008509
  0.011971 -0.010588
  0.022711 -0.012695
  0.040348 -0.014503
  0.064249 -0.015641
  0.091898 -0.016068
  0.121321 -0.015932
  0.151576 -0.015403
  0.182246 -0.014591
  0.213163 -0.013566
  0.244252 -0.012386
  0.275475 -0.011096
  0.306808 -0.009732
  0.338238 -0.008329
  0.369732 -0.006924
  0.401189 -0.005535
  0.432601 -0.004180
  0.463978 -0.002874
  0.495326 -0.001622
  0.526644 -0.000436
  0.557929  0.000672
  0.589179  0.001694
  0.620386  0.002615
  0.651543  0.003419
  0.682643  0.004087
  0.713688  0.004600
  0.744684  0.004937
  0.775638  0.005086
  0.806540  0.005039
  0.837367  0.004779
  0.868129  0.004273
  0.898980  0.003478
  0.929864  0.002388
  0.956570  0.001225
  0.975392  0.000283
  0.988982 -0.000432
  1.000000 -0.001000
