NACA 63(3)-618
       26.       26.

  0.000000  0.000000
  0.001560  0.015110
  0.003610  0.018780
  0.007970  0.024910
  0.019650  0.036160
  0.043930  0.052680
  0.068680  0.065420
  0.093670  0.075860
  0.144040  0.092190
  0.194690  0.104180
  0.245490  0.112730
  0.296400  0.118220
  0.347340  0.120860
  0.398290  0.120560
  0.449190  0.117670
  0.500000  0.112510
  0.550690  0.105410
  0.601250  0.096670
  0.651640  0.086550
  0.701870  0.075340
  0.751910  0.063300
  0.801780  0.050730
  0.851470  0.038000
  0.901030  0.025310
  0.950480  0.012930
  1.000000  0.000000

  0.000000  0.000000
  0.008440 -0.012110
  0.011390 -0.014580
  0.017030 -0.018490
  0.030350 -0.025000
  0.056070 -0.033720
  0.081320 -0.039980
  0.106330 -0.044840
  0.155960 -0.051810
  0.205310 -0.056420
  0.254510 -0.059030
  0.303600 -0.059900
  0.352660 -0.059060
  0.401710 -0.056300
  0.450810 -0.051970
  0.500000 -0.046330
  0.549310 -0.039710
  0.598750 -0.032410
  0.648360 -0.024750
  0.698130 -0.017020
  0.748090 -0.009600
  0.798220 -0.002970
  0.848530  0.002380
  0.898970  0.005710
  0.949520  0.006030
  1.000000  0.000000
