NACA 0012-64
       17.       17.

  0.000000  0.000000
  0.012500  0.018130
  0.025000  0.024530
  0.050000  0.032670
  0.075000  0.038130
  0.100000  0.042400
  0.150000  0.048670
  0.200000  0.052930
  0.300000  0.058270
  0.400000  0.060000
  0.500000  0.058270
  0.600000  0.053200
  0.700000  0.044800
  0.800000  0.033200
  0.900000  0.018670
  0.950000  0.010270
  1.000000  0.001200

  0.000000  0.000000
  0.012500 -0.018130
  0.025000 -0.024530
  0.050000 -0.032670
  0.075000 -0.038130
  0.100000 -0.042400
  0.150000 -0.048670
  0.200000 -0.052930
  0.300000 -0.058270
  0.400000 -0.060000
  0.500000 -0.058270
  0.600000 -0.053200
  0.700000 -0.044800
  0.800000 -0.033200
  0.900000 -0.018670
  0.950000 -0.010270
  1.000000 -0.001200
