NACA 16-021
       17.       17.

  0.000000  0.000000
  0.012500  0.022610
  0.025000  0.031590
  0.050000  0.043910
  0.075000  0.053060
  0.100000  0.060500
  0.150000  0.072360
  0.200000  0.081620
  0.300000  0.094800
  0.400000  0.102460
  0.500000  0.105000
  0.600000  0.102110
  0.700000  0.092210
  0.800000  0.073480
  0.900000  0.044050
  0.950000  0.024760
  1.000000  0.002100

  0.000000  0.000000
  0.012500 -0.022610
  0.025000 -0.031590
  0.050000 -0.043910
  0.075000 -0.053060
  0.100000 -0.060500
  0.150000 -0.072360
  0.200000 -0.081620
  0.300000 -0.094800
  0.400000 -0.102460
  0.500000 -0.105000
  0.600000 -0.102110
  0.700000 -0.092210
  0.800000 -0.073480
  0.900000 -0.044050
  0.950000 -0.024760
  1.000000 -0.002100
