E168  (12.45%)
       31.       31.

  0.000000  0.000000
  0.002870  0.007330
  0.010950  0.015500
  0.023630  0.023800
  0.040690  0.031870
  0.061980  0.039440
  0.087300  0.046270
  0.116410  0.052110
  0.149150  0.056720
  0.185360  0.059950
  0.224850  0.061770
  0.267390  0.062210
  0.312620  0.061340
  0.360190  0.059240
  0.409720  0.056060
  0.460750  0.052000
  0.512750  0.047280
  0.565160  0.042110
  0.617360  0.036730
  0.668710  0.031350
  0.718540  0.026150
  0.766160  0.021300
  0.810900  0.016910
  0.852100  0.013060
  0.889140  0.009790
  0.921460  0.007060
  0.948550  0.004760
  0.970180  0.002710
  0.986310  0.001080
  0.996490  0.000210
  1.000000  0.000000

  0.000000  0.000000
  0.002870 -0.007330
  0.010950 -0.015500
  0.023630 -0.023800
  0.040690 -0.031870
  0.061980 -0.039440
  0.087300 -0.046270
  0.116410 -0.052110
  0.149150 -0.056720
  0.185360 -0.059950
  0.224850 -0.061770
  0.267390 -0.062210
  0.312620 -0.061340
  0.360190 -0.059240
  0.409720 -0.056060
  0.460750 -0.052000
  0.512750 -0.047280
  0.565160 -0.042110
  0.617360 -0.036730
  0.668710 -0.031350
  0.718540 -0.026150
  0.766160 -0.021300
  0.810900 -0.016910
  0.852100 -0.013060
  0.889140 -0.009790
  0.921460 -0.007060
  0.948550 -0.004760
  0.970180 -0.002710
  0.986310 -0.001080
  0.996490 -0.000210
  1.000000  0.000000
