NACA 63(3)-018
       49.       49.

  0.000000  0.000000
  0.001070  0.005390
  0.004280  0.011640
  0.009610  0.018610
  0.017040  0.025610
  0.026530  0.032140
  0.038060  0.038330
  0.051560  0.044420
  0.066990  0.050410
  0.084270  0.056200
  0.103320  0.061710
  0.124080  0.066880
  0.146450  0.071680
  0.170330  0.076070
  0.195620  0.079990
  0.222210  0.083360
  0.250000  0.086110
  0.278860  0.088200
  0.308660  0.089550
  0.339280  0.090070
  0.370590  0.089690
  0.402450  0.088390
  0.434740  0.086200
  0.467300  0.083210
  0.500000  0.079490
  0.532700  0.075150
  0.565260  0.070290
  0.597550  0.065020
  0.629410  0.059470
  0.660720  0.053730
  0.691340  0.047930
  0.721140  0.042160
  0.750000  0.036550
  0.777790  0.031170
  0.804380  0.026130
  0.829670  0.021490
  0.853550  0.017300
  0.875920  0.013590
  0.896680  0.010350
  0.915730  0.007610
  0.933010  0.005390
  0.948440  0.003680
  0.961940  0.002440
  0.973470  0.001570
  0.982960  0.000960
  0.990390  0.000530
  0.995720  0.000240
  0.998930  0.000060
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.005390
  0.004280 -0.011640
  0.009610 -0.018610
  0.017040 -0.025610
  0.026530 -0.032140
  0.038060 -0.038330
  0.051560 -0.044420
  0.066990 -0.050410
  0.084270 -0.056200
  0.103320 -0.061710
  0.124080 -0.066880
  0.146450 -0.071680
  0.170330 -0.076070
  0.195620 -0.079990
  0.222210 -0.083360
  0.250000 -0.086110
  0.278860 -0.088200
  0.308660 -0.089550
  0.339280 -0.090070
  0.370590 -0.089690
  0.402450 -0.088390
  0.434740 -0.086200
  0.467300 -0.083210
  0.500000 -0.079490
  0.532700 -0.075150
  0.565260 -0.070290
  0.597550 -0.065020
  0.629410 -0.059470
  0.660720 -0.053730
  0.691340 -0.047930
  0.721140 -0.042160
  0.750000 -0.036550
  0.777790 -0.031170
  0.804380 -0.026130
  0.829670 -0.021490
  0.853550 -0.017300
  0.875920 -0.013590
  0.896680 -0.010350
  0.915730 -0.007610
  0.933010 -0.005390
  0.948440 -0.003680
  0.961940 -0.002440
  0.973470 -0.001570
  0.982960 -0.000960
  0.990390 -0.000530
  0.995720 -0.000240
  0.998930 -0.000060
  1.000000  0.000000
