NACA M3
       17.       17.

  0.000000  0.000000
  0.012500  0.018600
  0.025000  0.025100
  0.050000  0.033900
  0.075000  0.040000
  0.100000  0.044700
  0.150000  0.051400
  0.200000  0.055700
  0.300000  0.059500
  0.400000  0.058900
  0.500000  0.055000
  0.600000  0.048500
  0.700000  0.039600
  0.800000  0.028800
  0.900000  0.016200
  0.950000  0.009300
  1.000000  0.002000

  0.000000  0.000000
  0.012500 -0.018600
  0.025000 -0.025100
  0.050000 -0.033900
  0.075000 -0.040000
  0.100000 -0.044700
  0.150000 -0.051400
  0.200000 -0.055700
  0.300000 -0.059500
  0.400000 -0.058900
  0.500000 -0.055000
  0.600000 -0.048500
  0.700000 -0.039600
  0.800000 -0.028800
  0.900000 -0.016200
  0.950000 -0.009300
  1.000000 -0.002000
