NACA 66(3)-418
       26.       26.

  0.000000  0.000000
  0.002800  0.014050
  0.005090  0.016920
  0.009810  0.021470
  0.021940  0.030000
  0.046560  0.043060
  0.071400  0.053470
  0.096360  0.062310
  0.146510  0.076690
  0.196830  0.087730
  0.247260  0.096330
  0.297750  0.102870
  0.348290  0.107590
  0.398850  0.110590
  0.449430  0.111880
  0.500000  0.111480
  0.550560  0.109230
  0.601070  0.104640
  0.651490  0.096390
  0.701780  0.085390
  0.751910  0.072380
  0.801850  0.057940
  0.851620  0.042760
  0.901200  0.027440
  0.950600  0.012750
  1.000000  0.000000

  0.000000  0.000000
  0.007200 -0.012050
  0.009910 -0.014120
  0.015190 -0.017190
  0.028060 -0.022560
  0.053440 -0.030420
  0.078600 -0.036510
  0.103640 -0.041630
  0.153490 -0.049770
  0.203170 -0.055890
  0.252740 -0.060530
  0.302250 -0.063990
  0.351710 -0.066390
  0.401150 -0.067750
  0.450570 -0.068080
  0.500000 -0.067360
  0.549440 -0.065430
  0.598930 -0.061800
  0.648510 -0.055190
  0.698220 -0.046510
  0.748090 -0.036580
  0.798150 -0.026100
  0.848380 -0.015840
  0.898800 -0.006760
  0.949400 -0.000110
  1.000000  0.000000
