NACA 16-012
       17.       17.

  0.000000  0.000000
  0.012500  0.012920
  0.025000  0.018050
  0.050000  0.025090
  0.075000  0.030320
  0.100000  0.034570
  0.150000  0.041350
  0.200000  0.046640
  0.300000  0.054170
  0.400000  0.058550
  0.500000  0.060000
  0.600000  0.058350
  0.700000  0.052690
  0.800000  0.041990
  0.900000  0.025170
  0.950000  0.014150
  1.000000  0.001200

  0.000000  0.000000
  0.012500 -0.012920
  0.025000 -0.018050
  0.050000 -0.025090
  0.075000 -0.030320
  0.100000 -0.034570
  0.150000 -0.041350
  0.200000 -0.046640
  0.300000 -0.054170
  0.400000 -0.058550
  0.500000 -0.060000
  0.600000 -0.058350
  0.700000 -0.052690
  0.800000 -0.041990
  0.900000 -0.025170
  0.950000 -0.014150
  1.000000 -0.001200
