E475  (15.01%)
       31.       31.

  0.000000  0.000000
  0.002830  0.009920
  0.010650  0.020760
  0.022700  0.031670
  0.038790  0.042110
  0.058810  0.051650
  0.082670  0.059910
  0.110330  0.066540
  0.141810  0.071310
  0.177170  0.074070
  0.216560  0.075000
  0.259730  0.074600
  0.306090  0.073170
  0.355040  0.070880
  0.405980  0.067890
  0.458260  0.064320
  0.511240  0.060270
  0.564260  0.055860
  0.616670  0.051150
  0.667810  0.046240
  0.717040  0.041200
  0.763750  0.036050
  0.807340  0.030830
  0.847230  0.025420
  0.883260  0.019580
  0.915600  0.013690
  0.943800  0.008540
  0.967080  0.004470
  0.984780  0.001680
  0.996080  0.000330
  1.000000  0.000000

  0.000000  0.000000
  0.002830 -0.009920
  0.010650 -0.020760
  0.022700 -0.031670
  0.038790 -0.042110
  0.058810 -0.051650
  0.082670 -0.059910
  0.110330 -0.066540
  0.141810 -0.071310
  0.177170 -0.074070
  0.216560 -0.075000
  0.259730 -0.074600
  0.306090 -0.073170
  0.355040 -0.070880
  0.405980 -0.067890
  0.458260 -0.064320
  0.511240 -0.060270
  0.564260 -0.055860
  0.616670 -0.051150
  0.667810 -0.046240
  0.717040 -0.041200
  0.763750 -0.036050
  0.807340 -0.030830
  0.847230 -0.025420
  0.883260 -0.019580
  0.915600 -0.013690
  0.943800 -0.008540
  0.967080 -0.004470
  0.984780 -0.001680
  0.996080 -0.000330
  1.000000  0.000000
